Nom,Contact,Adresse,Code Postal,Ville,Tel,Adresse perso,Repré,Groupement,SP,,,,Remarque,
Librairie La femme renard,Caroline Berthelot,"115, faubourg lacapelle",82000,Montauban,,,,,,,,,,
Nouvelle librairie Baume,Dianne de Pontcharra,"52, rue Pierre Julien",26200,Montélimar,,,,,,,,,,
Le grain des mots,,"13, boulevard du jeu de paume",34000,Montpellier,,,,,,,,,,
Librairie Sauramps,Nathalie Seck,Le triangle Allée Jules Milhau,34000,Montpellier,,,,,,,,,,
Les 3 souhaits,Cécile,"15, rue Pasteur",25500,Morteau,,,,,,,,,,
Librairie Bisey,Mathilde,"35, place de la réunion",68100,Mulhouse,,,,,,,,,,
Librairie 47° Nord,Marie Simon / Frédéric Versolato,"Maison Engelmann – 8b, rue du Moulin",68100,Mulhouse,,,,,,,,,,
Le hall du livre, Myriam Robert,19 rue saint michel ,54000,Nancy,,,,,,,,,,
LE HALL DU LIVRE, Myriam Robert,38 RUE SAINT DIZIER,54000,Nancy,,,,,,,,,,
Librairie l'Autre Rive,,"19, rue du Pont Mouja",54000,Nancy,,,,,,,,,,
Librairie Vent d'Ouest,Bertrand Le Sausse et Catherine Perrin (litté et polar),5 place du bon pasteur,44000,Nantes,,,,,,,,,,
Librairie Les Biens aimés,Cécile Menanteau et Géraldine Schiano,2 Rue de la paix,44000,Nantes,,,,,,,,,,
Librairie Durance,"Delphine, Fred H, Magali, Christelle, Aurélie (litté et polar)",4 Allée Orléans,44000,Nantes,,,,,,,,,,
Librairie Coiffard,,7- 8 Rue de la fosse,44000,Nantes,,,,,,,,,,
Librairie la vie devant soi,Charlotte Desmousseaux,76 rue Maréchal joffre,44000,Nantes,,,,,,,,,,
,,,,,,,,,,,,,,
Maison jaune,Florence Veyrié,"37, rue de la république",69250,Neuville / Saône,,,,,,,,,,
Le cyprès,Wilfrid Séjeau,"17, rue du pont Cizeau",58000,Nevers,,,,,,,,,,
Massena,"Romain Chifflet(polar), Valérie Ohanian(litté)","55, rue Gioffredo",06000,Nice,,,,,,,,,,
L'acropole,AURéLIE BARLET,10 AVENUE FELIX FAURE,6000,Nice,,aurelie barlet 11 rue louis blériot 06200 nice,,,,,,,,
La librairie des Halles,"Martine (policier + sf)), Natacha (litté)","1 bis, rue de l'hôtel de ville",79000,Niort,,,,,,,,,,
Le libr'air,Géraldine Gauthier,14 rue Dietrich,67210,Obernai,,,,,,,,,,
L'orange bleue,Emmanuelle et Gilles Taillardas,"23, rue Caristie",84100,Orange,,,,,,,,,,
Temps modernes,Jean-Christophe Fernandez,57 rue Notre Dame de Recouvrance,45000,Orléans,,,,,,,,,,
Librairie Chantelivre,"Marlène Brocail (gérante), Delphine Maillart et Elisabeth Person","15, place du Martroi",45000,Orléans,,,,,,,,,,
Librairie du Renard,Valérie et Benoit Le Louarn ,8 rue de l'Eglise,22500,Paimpol,,,,,,,,,,
Librairie Tonnet,Martine,"3 bis, place Marguerite Laborde",64000,Pau,,,,,,,,,,
Librairie L'Escampette,Nicolas Seine / Paule Zimba,"10, rue des Cordeliers",64000,Pau,,,,,,,,,,
Des livres et nous,Catherine Rimbault,34 rue du Président Wilson,24000,Perigueux,,,,,,,,,,
Torcatis,,10 rue Mailly,66000,Perpignan,,,,,,,,,,
Librairie Cajelice,Laurent Lebourg,"10, rue du Docteur Pous",66000,Perpignan,,,,,,,,,,
Nouvelle librairie polinoise,Corinne Desies,"73, grande rue",39800,Poligny,,,,,,,,,,
Librairie lafontaine ,Eulalie Puche,4 place de l'hôtel de ville,07000,Privas,,,,,,,,,,
Librairie Ravy,"Karine (polar), Valérie (litté)","10, rue de la Providence",29000,Quimper,,,,,,,,,,
Librairie Guerlin Colbert,,"70/77, place Drouet d'Erlon",51100,Reims,,,,,,,,,,
Librairie Le Failler,"Camille, Léa Brissy (POLAR)","8-14, rue Saint Georges",35000,Rennes,,,,,lortchenkov,,,,,
Librairie Mayol,Dominique Mayol,12 rue Charles de Gaulle,42300,Roanne,,,,,,,,,,
Maison du Livre,Benoit Bougerol,Passage des Maçons,12007,Rodez,,,,,,,,,,
Librairie des Cordeliers,François Reynaud et Olivier Badoy,13 côte des Cordeliers,26100,Romans sur Isère,,,,,,,,,,
Les lisières,Marianne K.,"32, Grand place",59100,Roubaix,,,,,,,,,,
Librairie L'Armitière, Fabien Vignaud,"66, rue Jeanne d'Arc",76000,Rouen,,,,,,,,,,
Librairie du Rivages,"Patrick, Catherine et Valérie","82, boulevard Aristide Briand",17200,Royan,,,,,,,,,,
Librairie de Paris,"Valérie Landry, Alexandra","6, rue Michel Rondet",42000,Saint Étienne,,,,,lortchenkov,,,,,
Lune et l'autre,,"19, rue Pierre Berard",42000,Saint Étienne,,,,,,,,,,
Le 5ème art,Christelle Dierrick,"26, rue Sopite",65000,Saint Jean de Luz,,,,,,,,,,
Librairie Broglie,,23 place broglie,67000,STRASBOURG,,,,,,,,,,
Librairie Kleber,Delphine Munch,"12, rue Saint Dié",67300,Schiltigheim,,,,,,,,,,
Librairie L'Écritoire,Cécile,"30, place Notre Dame",21140,Semur en Auxois,,,,,,,,,,
Nouvelle librairie sétoise,Sophie Garoya,"7, rue Alsace Lorraine",34200,Sète,,,,,,,,,,
L'échappée belle,"Sophie Dullin, Julien Dubost","7, rue Gambetta",34200,Sète,,,,,,,,,,
Librairie Kleber,Luc Naegelen,1 rue des francs bourgeois,67000,Strasbourg,,,,,,,,,,
Quai des Brumes,Sébastien,"120, grande rue",67000,Strasbourg,,,,,,,,,,
Librairie Les beaux jours,Julie Cénac,"18, avenue de la Marne",65000,Tarbes,,,,,,,,,,
Librairie Hisler Even bis,,rue du maillet,57100,Thionville,,,,,,,,,,
Librairie Birmann,Marc Rauscher,"7, rue des arts",74200,Thonon les Bains,,,,,,,,,,
Librairie Charlemagne,Camille F. (litté),"50, boulevard de Strasbourg",83000,Toulon,,,,,lortchenkov,,,,,
Librairie Ombres Blanches,Kim dragon,"50, rue Gambetta",31000,Toulouse,,,,,,,,,,
Librairie de la Renaissance ,Bruno Lamarque,1 allée Marc Saint-Saens,31100,Toulouse,,ADRESSE PERSO : 12B RUE DU FOUR 31120 PORTET SUR GARONNE,,,,,,,,
Librairie Privat,Benoît Bougerol (proprio),14 rue des arts,31100,Toulouse,,,,,,,,,à voir,
Librairie Privat,Vincent Ladoucette,"Bâtiment David, 111 rue des Troènes",31200,Toulouse,,,,,lortchenkov,,,,lecteur de pdf pour SP,
L'autre monde,Tiphaine Guérin,34 Rue Roger Salengro,37000,TOURS,,,,,,,,,,
La boîte à livre,Joël Hafkin,"19, rue Nationale",37000,Tours,,,,,,,,,,
Les passeurs de texte,Jean Luc Rio / José Moliner (polar),"5, rue Émile Zola",10000,Troyes,,,,,,,,,,
Librairie Préférences,Valérie Moratille-Limoujoux / Pierre Landry,11 Place Clément Simpon,19000,Tulle,,,,,,,,,,
Librairie Cheminant,"Sophie, Adeline (polar), Justine, Lucie","19, rue Joseph le Brix",56000,Vannes,,,,,,,,,,
Gibert Saint Germain,F. Berthel,"4, allée du Manoir",78480,Verneuil sur Seine,,,,,,,,,,
Lucioles,Renaud Junillon,"13-15, place du palais",38200,Vienne,,,,,,,,,,
La colline aux livres,Coline Hugel,Place louis de la Bardonnie,24100,Bergerac,,,,,,,,,à vérifier,
Librairie du théâtre,lydie Zannini,8 cours de verdun,1000,Bourg en Bresse,,,,,,,,,,
Librairie AB,Delphine Eledjam-Cambet,26 place Fuiterie,34400,Lunel,,,,,,,,,,
Le vent délire,Emmanuelle Andrieux,5 rue du general de gaulle,40130,Capbreton,,,,,,,,,,
Millepages,Jérome Dejean,91 rue fontenay,94300,vincennes,,,,,,,,,,
Decitre ,Marie Pierre Dou,75 rue sommeiller,73000,chambéry,,,,,,Destinée + fleuve,,,,
Librairie des volcans,,80 boulevard francois mitterrand,63000,clermont ferrand,04-73-43-66-65,,,,,Destinée + installation + catalogue → spécifier « rayon litté étrangère »,,,,
Librairie au temps retrouvé,Antoine Tracol,46 place des martyrs,38250,villard de lans,,,,,,Destinée + installation,,,,
Librairie du Renard,,8 rue de l'église,22500,paimpol,,,,,,,,,,
Le tracteur savant,Aurel le tricot,3 place de la halle,82140,saint antonin noble val,,,,,,a été envoyé Destinée+ fleuve et catalogue,,,,
